기준연월,시군구명,가맹점수,휴업가맹점수,폐업가맹점수
202011,서산시,10984,824,62
202011,서천군,3417,257,28
202011,아산시,17588,1416,144
202011,예산군,5208,478,37
202011,천안시 동남구,16812,1562,148
202011,천안시 서북구,22606,1896,267
202011,청양군,1707,174,8
202011,태안군,5585,545,54
202011,홍성군,6577,557,46
202012,계룡시,1835,171,22
202012,공주시,7363,677,48
202012,금산군,3979,416,18
202012,논산시,8245,796,56
202012,당진시,10245,767,84
202012,보령시,7598,646,45
202012,부여군,3463,319,23
202012,서산시,11002,837,77
202012,서천군,3428,283,28
202012,아산시,17646,1458,178
202012,예산군,5219,493,48
202012,천안시 동남구,16858,1639,145
202012,천안시 서북구,22695,1976,225
202012,청양군,1713,180,15
202012,태안군,5596,568,54
202012,홍성군,6612,581,51
202101,계룡시,1834,178,22
202101,공주시,7389,722,44
202101,금산군,3986,435,22
202101,논산시,8255,843,65
202101,당진시,10272,813,75
202101,보령시,7614,692,54
202101,부여군,3472,335,23
202101,서산시,11049,895,60
202101,서천군,3433,300,24
202101,아산시,17694,1503,152
202101,예산군,5232,516,28
202101,천안시 동남구,16883,1697,151
202101,천안시 서북구,22757,2072,228
202101,청양군,1704,181,17
202101,태안군,5600,607,29
202101,홍성군,6645,594,51
202102,계룡시,1848,186,14
202102,공주시,7403,769,51
202102,금산군,3991,445,23
202102,논산시,8294,883,43
202102,당진시,10320,854,70
202102,보령시,7640,780,32
202102,부여군,3491,360,8
202102,서산시,11073,939,50
202102,서천군,3445,317,9
202102,아산시,17779,1581,118
202102,예산군,5242,523,32
202102,천안시 동남구,16913,1778,104
202102,천안시 서북구,22842,2135,164
202102,청양군,1707,197,5
202102,태안군,5621,699,30
202102,홍성군,6666,615,35
202103,계룡시,1866,191,18
202103,공주시,7438,781,34
202103,금산군,3997,451,22
202103,논산시,8329,888,50
202103,당진시,10372,869,64
202103,보령시,7682,793,24
202103,부여군,3504,351,13
202103,서산시,11118,952,79
202103,서천군,3468,337,14
202103,아산시,17861,1609,142
202103,예산군,5272,511,27
202103,천안시 동남구,16983,1794,137
202103,천안시 서북구,22933,2197,232
202103,청양군,1718,190,9
202103,태안군,5661,723,31
202103,홍성군,6685,623,43
202104,계룡시,1866,192,24
202104,공주시,7457,813,80
202104,금산군,4001,481,30
202104,논산시,8344,900,81
202104,당진시,10399,874,123
202104,보령시,7701,844,66
202104,부여군,3524,363,17
202104,서산시,11178,959,91
202104,서천군,3474,343,19
202104,아산시,17930,1654,224
202104,예산군,5281,517,55
202104,천안시 동남구,17072,1830,171
202104,천안시 서북구,23005,2272,298
202104,청양군,1729,199,8
202104,태안군,5692,771,46
202104,홍성군,6722,633,52
202105,계룡시,1869,196,15
202105,공주시,7466,839,69
202105,금산군,4009,495,20
202105,논산시,8349,923,70
202105,당진시,10458,898,79
202105,보령시,7722,877,52
202105,부여군,3536,385,22
202105,서산시,11214,982,85
202105,서천군,3481,358,24
202105,아산시,17978,1695,173
202105,예산군,5293,522,31
202105,천안시 동남구,17107,1825,165
202105,천안시 서북구,23099,2316,263
202105,청양군,1724,211,13
202105,태안군,5713,794,40
202105,홍성군,6726,651,69
202106,계룡시,1874,190,28
202106,공주시,7522,851,62
202106,금산군,4022,490,28
202106,논산시,8367,950,61
202106,당진시,10509,935,95
202106,보령시,7735,878,61
202106,부여군,3550,413,14
202106,서산시,11271,1007,89
202106,서천군,3483,362,22
202106,아산시,18054,1737,175
202106,예산군,5310,557,42
202106,천안시 동남구,17192,1800,179
202106,천안시 서북구,23231,2349,271
202106,청양군,1731,212,13
202106,태안군,5743,773,46
202106,홍성군,6742,667,49
202107,계룡시,1885,186,10
202107,공주시,7553,835,46
202107,금산군,4038,476,27
202107,논산시,8406,932,53
202107,당진시,10562,916,86
202107,보령시,7785,818,64
202107,부여군,3560,398,21
202107,서산시,11302,1004,86
202107,서천군,3492,347,18
202107,아산시,18171,1736,160
202107,예산군,5360,541,35
202107,천안시 동남구,17275,1763,126
202107,천안시 서북구,23360,2326,234
202107,청양군,1739,211,17
202107,태안군,5766,731,41
202107,홍성군,6769,655,41
202108,계룡시,1902,187,12
202108,공주시,7598,845,35
