기준연월,고객광역시군구명,전체이용건수,전체이용금액
201912,대전광역시,247944,8569122206
201912,부산광역시,79589,2574013161
201912,세종특별자치시,83299,3142465203
201912,전라남도,56049,1749804029
202001,경기도,1053776,32249099617
202001,경상북도,64923,1964695774
202001,서울특별시,582025,19534728514
202001,인천광역시,182456,5225747473
202002,경상남도,72922,2253232148
202002,광주광역시,36575,1058751043
202002,대구광역시,48609,1517081365
202002,전라북도,93751,2894466470
202003,대전광역시,228961,7881668895
202003,부산광역시,67775,2273545114
202003,세종특별자치시,75461,2631785313
202003,전라남도,41246,1396466802
202004,강원도,26649,734449877
202004,울산광역시,27098,827789538
202004,제주특별자치도,9124,249723268
202004,충청북도,109506,3240300366
202005,경기도,1236536,35138349580
202005,경상북도,71474,1996546371
202005,서울특별시,654641,21570721432
202005,인천광역시,213576,5742513754
202006,경상남도,86788,2361618246
202006,광주광역시,44823,1267315825
202006,대구광역시,59420,1640016773
202006,전라북도,113656,3337148724
202007,대전광역시,260643,8241953692
202007,부산광역시,80053,2369778513
202007,세종특별자치시,84814,2748084657
202007,전라남도,48657,1437389734
202008,강원도,30504,785680056
202008,울산광역시,27834,779482403
202008,제주특별자치도,9963,255453556
202008,충청북도,121241,3462041626
202009,경기도,1175304,34748719766
202009,경상북도,68251,1899876447
202009,서울특별시,625024,20388771937
202009,인천광역시,199908,5638900772
202010,대전광역시,260979,8532487698
202010,부산광역시,79173,2444096931
202010,세종특별자치시,82584,2851931493
202010,전라남도,47826,1417345236
202011,강원도,28371,767769987
202011,울산광역시,27865,854727483
202011,제주특별자치도,9274,243153841
202011,충청북도,102870,3607273899
202012,경기도,947719,28716907479
202012,경상북도,61014,1817766591
202012,서울특별시,531675,19059972790
202012,인천광역시,166251,4820696258
202101,경상남도,73737,2295274219
202101,광주광역시,33604,1069803251
202101,대구광역시,49293,1742693512
202101,전라북도,88202,3038508505
202102,대전광역시,199879,6698224945
202102,부산광역시,66005,2190323026
202102,세종특별자치시,61252,2235144426
202102,전라남도,36574,1198161044
202103,강원도,28407,778813117
202103,울산광역시,28754,922298898
202103,제주특별자치도,8756,234910904
202103,충청북도,102583,3411294439
202104,경기도,1158199,35329144095
202104,경상북도,69822,2109455240
202104,서울특별시,625705,20484127419
202104,인천광역시,203407,5982697349
202105,경상남도,89446,2535125473
202105,광주광역시,42724,1290994774
202105,대구광역시,61953,1758597144
202105,전라북도,115891,3648394035
202106,대전광역시,248356,8415218788
202106,부산광역시,87125,2601825889
202106,세종특별자치시,75717,2634556118
202106,전라남도,51753,1660788861
202107,강원도,29961,794578155
202107,울산광역시,33488,1007088482
202107,제주특별자치도,9091,245391837
202107,충청북도,110181,3538928173
202108,경기도,1186802,35847994651
202108,경상북도,69726,1983902023
202108,서울특별시,655557,22001506820
202108,인천광역시,205944,6057870490
202109,경상남도,84166,2457243884
202109,광주광역시,40535,1274658630
202109,대구광역시,58495,1755044510
202109,전라북도,104409,3535234463
202110,강원도,28721,797854895
202110,울산광역시,31400,928390211
202110,제주특별자치도,8733,255930183
202110,충청북도,111052,3696311375
202111,경기도,1053615,33810925825
202111,경상북도,66054,2084267062
202111,서울특별시,588659,20799022157
202111,인천광역시,184376,5811275580
202112,경상남도,77811,2445811952
202112,광주광역시,39143,1323305745
202112,대구광역시,54848,1719696611
202112,전라북도,97305,3628565761
202201,대전광역시,187158,6969361986
202201,부산광역시,69454,2260229942
202201,세종특별자치시,61013,3057406563
202201,전라남도,36774,1336022940
202202,강원도,21185,651608665
202202,울산광역시,22709,701980324
202202,제주특별자치도,6739,193732089
202202,충청북도,72818,2748475925
202203,경기도,1060095,34560880034
202203,경상북도,67837,2158233802
202203,서울특별시,562927,19919404749
202203,인천광역시,183884,5844863215
202204,경상남도,85541,2606893241
202204,광주광역시,42491,1416329619
202204,대구광역시,61637,1909839464
202204,전라북도,109469,3881949470
202205,대전광역시,267460,10210122168
202205,부산광역시,91295,2798125661
202205,세종특별자치시,88762,3612216579
202205,전라남도,53391,1827307025
202206,강원도,32308,929098206
202206,울산광역시,29050,895572544
202206,제주특별자치도,9463,272835133
202206,충청북도,115386,4219084928
201901,강원도,31686,929937702
201901,울산광역시,27791,991509656
201901,제주특별자치도,10229,305777812
201901,충청북도,111399,3632282615
201902,경기도,999505,29249465108
201902,경상북도,57477,1798204707
201902,서울특별시,553515,16952057101
